Officer-defined ethnicity,Age range,Object of search,Outcome,count
White,25-34,Firearms,A no further action disposal,101
White,25-34,Firearms,Arrest,29
White,25-34,Firearms,Community resolution,6
White,25-34,Firearms,Penalty Notice for Disorder,9
White,25-34,Firearms,Summons / charged by post,2
White,25-34,Fireworks,A no further action disposal,17
White,25-34,Fireworks,Arrest,5
White,25-34,Fireworks,Community resolution,1
White,25-34,Fireworks,Penalty Notice for Disorder,1
White,25-34,Fireworks,Summons / charged by post,1
White,25-34,Offensive weapons,A no further action disposal,2034
White,25-34,Offensive weapons,Arrest,541
White,25-34,Offensive weapons,Caution (simple or conditional),2
White,25-34,Offensive weapons,Community resolution,51
White,25-34,Offensive weapons,Penalty Notice for Disorder,37
White,25-34,Offensive weapons,Summons / charged by post,17
White,25-34,Stolen goods,A no further action disposal,3161
White,25-34,Stolen goods,Arrest,913
White,25-34,Stolen goods,Caution (simple or conditional),2
White,25-34,Stolen goods,Community resolution,169
White,25-34,Stolen goods,Penalty Notice for Disorder,97
White,25-34,Stolen goods,Summons / charged by post,55
White,over 34,Anything to threaten or harm anyone,A no further action disposal,190
White,over 34,Anything to threaten or harm anyone,Arrest,18
White,over 34,Anything to threaten or harm anyone,Community resolution,3
White,over 34,Anything to threaten or harm anyone,Penalty Notice for Disorder,4
White,over 34,Anything to threaten or harm anyone,Summons / charged by post,2
White,over 34,Articles for use in criminal damage,A no further action disposal,91
White,over 34,Articles for use in criminal damage,Arrest,51
White,over 34,Articles for use in criminal damage,Community resolution,6
White,over 34,Articles for use in criminal damage,Penalty Notice for Disorder,2
White,over 34,Articles for use in criminal damage,Summons / charged by post,2
White,over 34,Controlled drugs,A no further action disposal,13100
White,over 34,Controlled drugs,Arrest,1980
White,over 34,Controlled drugs,Caution (simple or conditional),7
White,over 34,Controlled drugs,Community resolution,1228
White,over 34,Controlled drugs,Penalty Notice for Disorder,259
White,over 34,Controlled drugs,Summons / charged by post,142
White,over 34,Evidence of offences under the Act,A no further action disposal,2028
White,over 34,Evidence of offences under the Act,Arrest,520
White,over 34,Evidence of offences under the Act,Community resolution,38
White,over 34,Evidence of offences under the Act,Penalty Notice for Disorder,16
White,over 34,Evidence of offences under the Act,Summons / charged by post,10
White,over 34,Firearms,A no further action disposal,82
White,over 34,Firearms,Arrest,31
White,over 34,Firearms,Community resolution,1
White,over 34,Firearms,Penalty Notice for Disorder,3
White,over 34,Fireworks,A no further action disposal,13
White,over 34,Fireworks,Arrest,2
White,over 34,Fireworks,Community resolution,3
White,over 34,Fireworks,Summons / charged by post,1
White,over 34,Offensive weapons,A no further action disposal,1700
White,over 34,Offensive weapons,Arrest,604
White,over 34,Offensive weapons,Community resolution,36
White,over 34,Offensive weapons,Penalty Notice for Disorder,12
White,over 34,Offensive weapons,Summons / charged by post,10
White,over 34,Stolen goods,A no further action disposal,3735
White,over 34,Stolen goods,Arrest,1101
White,over 34,Stolen goods,Community resolution,260
White,over 34,Stolen goods,Penalty Notice for Disorder,75
White,over 34,Stolen goods,Summons / charged by post,69
White,under 10,Controlled drugs,A no further action disposal,6
White,under 10,Controlled drugs,Arrest,2
White,under 10,Controlled drugs,Community resolution,1
White,under 10,Controlled drugs,Penalty Notice for Disorder,2
White,under 10,Evidence of offences under the Act,A no further action disposal,1
White,under 10,Offensive weapons,A no further action disposal,5
White,under 10,Stolen goods,A no further action disposal,6
White,under 10,Stolen goods,Arrest,3
